"","Sample","Total_contigs","PFAMs","KEGG_ko","GOs","PFAMs_KEGG_ko","PFAMs_GOs","KEGG_ko_GOs","PFAMS_KEGG_ko_GOs","PFAM_only","KEGG_only","GO_only","PFAM_KEGG_only","PFAM_GOs_only","KEGG_GOs_only","total_pep_counts","not_Pfam_KEGG_GO","unannotated","PFAMS_KEGG_ko_GOs_percent","PFAM_only_percent","KEGG_only_percent","GO_only_percent","PFAM_KEGG_only_percent","PFAM_GOs_only_percent","KEGG_GOs_only_percent","not_Pfam_KEGG_GO_percent"
"1","HS032",39766,37193,27728,16083,27588,15954,14862,14822,8473,100,89,12766,1132,40,153322,2344,113556,37.2730473268621,21.3071468088317,0.251471105969924,0.223809284313232,32.1028013881205,2.84665291957954,0.10058844238797,5.89448272393502
"2","HS033",35760,33451,24905,14256,24748,14145,13153,13125,7683,129,83,11623,1020,28,157111,2069,121351,36.7030201342282,21.4848993288591,0.360738255033557,0.232102908277405,32.5027964205817,2.85234899328859,0.0782997762863535,5.78579418344519
"3","HS034",26027,24351,18204,10347,18103,10261,9540,9512,5499,73,58,8591,749,28,113837,1517,87810,36.546663080647,21.1280593230107,0.280477965189995,0.222845506589311,33.008030122565,2.87778076612748,0.107580589387943,5.8285626464825
"4","HS035",29947,28060,21532,11978,21379,11889,11309,11278,6070,122,58,10101,611,31,103248,1676,73301,37.6598657628477,20.2691421511337,0.407386382609276,0.193675493371623,33.7295889404615,2.04027114569072,0.103516211974488,5.59655391191104
"5","HS036",28842,27044,20370,11471,20245,11371,10609,10579,6007,95,70,9666,792,30,100264,1603,71422,36.6791484640455,20.8272657929408,0.329380764163373,0.242701615699327,33.5136259621385,2.74599542334096,0.104014978156855,5.5578669995146
"6","HS037",3303,3129,2383,1189,2365,1172,1093,1089,681,14,13,1276,83,4,7624,143,4321,32.9700272479564,20.6176203451408,0.423857099606418,0.393581592491674,38.6315470784136,2.51286709052377,0.121102028458977,4.32939751740842
"7","HS038",28175,26367,19603,11619,19487,11514,10599,10576,5942,93,82,8911,938,23,137217,1610,109042,37.5368234250222,21.0896184560781,0.330079858030169,0.291038154392192,31.6273291925466,3.32919254658385,0.0816326530612245,5.71428571428571
"8","HS039",76227,70836,50966,29717,50578,29413,26845,26745,17590,288,204,23833,2668,100,351027,4799,274800,35.0859931520327,23.0758130321277,0.377818883072927,0.267621708843323,31.2658244454065,3.5000721529117,0.1311871121781,6.295669513427
"9","HS040",19556,18387,13968,7753,13888,7694,7259,7244,4049,65,44,6644,450,15,70921,1045,51365,37.0423399468194,20.7046430762937,0.33237880957251,0.224994886479853,33.9742278584578,2.30108406627122,0.0767028022090407,5.3436285538965
"10","HS042",27019,25249,18986,10934,18882,10846,10151,10121,5642,74,58,8761,725,30,119101,1608,92082,37.4588252711055,20.8816018357452,0.273881342758799,0.214663755135275,32.425330323106,2.68329693919094,0.111032976794108,5.95136755616418
"11","HS043",11165,10449,8078,4243,8022,4213,4025,4016,2230,47,21,4006,197,9,36596,639,25431,35.9695476936856,19.9731303179579,0.420958351992835,0.188087774294671,35.8799820868786,1.76444245409763,0.0806090461262875,5.72324227496641
"12","HS044",107121,99217,71600,42293,71033,41892,38154,38019,24311,432,266,33014,3873,135,488623,7071,381502,35.4916402946201,22.6948964255375,0.403282269582995,0.24831732340064,30.8193538148449,3.61553756966421,0.126025709244686,6.60094659310499
"13","HS045",43671,40971,30687,18546,30494,18367,17038,16980,9090,135,121,13514,1387,58,172241,2386,128570,38.8816377000756,20.8147283094044,0.309129628357491,0.27707174097227,30.9450207231343,3.17602070023585,0.132811247738774,5.46357995008129
"14","HS046",54593,51106,38291,22908,38039,22700,21105,21033,11400,180,136,17006,1667,72,225876,3099,171283,38.5269173703588,20.8817980327148,0.32971260051655,0.249116187056949,31.1505138021358,3.05350502811716,0.13188504020662,5.67655193889327
"15","HS047",29537,27548,20594,12025,20446,11906,11023,10984,6180,109,80,9462,922,39,123699,1761,94162,37.1872566611369,20.9229102481633,0.369028675898026,0.270846734604056,32.0343975352947,3.12150861631174,0.132037783119477,5.96201374547178
"16","HS048",38637,36248,27253,16186,27111,16029,14913,14873,7981,102,117,12238,1156,40,159230,2130,120593,38.4941895074669,20.6563656598597,0.263995651836323,0.302818541812252,31.6743018350286,2.99195072081166,0.103527706602479,5.51285037658203
"17","HS049",17396,16177,11919,6878,11855,6844,6536,6526,4004,54,24,5329,318,10,56061,1131,38665,37.5143711197977,23.0167854679237,0.31041618762934,0.137962750057484,30.6334789606806,1.82800643826167,0.0574844791906185,6.50149459645896
"18","HS050",29675,27797,20758,12320,20622,12201,11312,11272,6246,96,79,9350,929,40,150412,1663,120737,37.9848357203033,21.0480202190396,0.323504633529907,0.266217354675653,31.5080033698399,3.13058129738837,0.134793597304128,5.60404380791912
"19","HS051",11984,11273,8472,4657,8434,4625,4308,4300,2514,30,24,4134,325,8,44063,649,32079,35.8811748998665,20.9779706275033,0.250333778371162,0.200267022696929,34.4959946595461,2.71194926568758,0.0667556742323097,5.41555407209613
"20","HS052",143010,133844,100702,50340,100179,49272,46226,46135,30528,432,977,54044,3137,91,770616,7666,627606,32.2599818194532,21.3467589679043,0.302076777847703,0.683169009160199,37.7903643101881,2.19355289839871,0.0636319138521782,5.36046430319558
"21","HS053",333234,292231,220482,75609,219370,69869,66940,66832,69824,1004,5632,152538,3037,108,1178412,34259,845178,20.0555765618154,20.9534441263497,0.301289784355738,1.69010365088796,45.7750409622067,0.911371588733443,0.0324096580781073,10.2807636675729
"22","HS054",126884,118930,90481,40822,90090,39845,37787,37718,26713,322,908,52372,2127,69,497183,6655,370299,29.7263642382018,21.0530878597774,0.253775101667665,0.715614261845465,41.2754957283818,1.67633428958734,0.0543803789287853,5.24494814160966
"23","HS055",106836,99630,74410,43231,73913,42892,39836,39723,22548,384,226,34190,3169,113,642121,6483,535285,37.1812872065596,21.1052454228912,0.359429405818263,0.21153918154929,32.0023213149126,2.96622861207833,0.105769590774645,6.06817926541615
"24","HS056",104076,88455,66129,22924,65766,20588,19728,19699,21800,334,2307,46067,889,29,325879,12951,221803,18.9275145086283,20.9462315999846,0.320919328183251,2.21664937161305,44.2628463814904,0.854183481302125,0.0278642530458511,12.4437910757523
"25","HS057",67691,63487,47575,30430,47238,30078,27319,27183,13354,201,216,20055,2895,136,327675,3651,259984,40.1574803149606,19.7278811067941,0.296937554475484,0.319097073466192,29.6272768905763,4.2767871652066,0.200912972182417,5.39362692233827
"26","HS058",1275556,1176721,810265,475791,803191,471887,420698,419230,320873,5606,2436,383961,52657,1468,6590308,89325,5314752,32.8664519629087,25.1555400154913,0.43949462038515,0.190975543214096,30.1014616371214,4.12816058252244,0.115087067913914,7.00282857044301
"27","HS060",276212,257327,185271,109545,184001,108759,99486,99190,63757,974,490,84811,9569,296,1280145,17125,1003933,35.9108221221381,23.0826321810783,0.352627691772986,0.177399968140414,30.7050381590952,3.46436794925637,0.107164062386862,6.19994786613181
"28","MAD",3291694,3030770,2182780,1186928,2167460,1169008,1069527,1066368,760670,12161,14761,1101092,102640,3159,15851149,230843,12559455,32.3957208659128,23.1087701347695,0.369445033469089,0.448431719351799,33.450618435371,3.11815132269281,0.0959688233474922,7.01289366508551
